"W	W
O	0
o	of
oar	our
oat	out
of	by
of	or
Of	or
oil	off
oil	oh
oil	on
OK	on
One	Dime
OP	OF
or	of
OR	on
OS	on
ottered	offered
our	oar
oust	cast
Out	But
out	one
oven	even
oven	over
OWE	own
oxidate	oxalate
paid	said
Pale	Dale
Pans	Paris
parsed	passed
parson	person
part	past
paster	master
peek	week
pelted	petted
Person	Poison
persona	persons
Piddles	Fiddles
Pie	He
pie-face	preface
pilling	willing
plum	plain
porn	form
post	poet
posts	poets
Pour	Four
Prance	France
prepaying	repaying
present	presence
PRICK	PRICE
primes	prunes
Prom	From
Punishing	Publishing
qualifies	qualities
ram	rain
ramie	made
ran	run
ranch	much
rate	me
rations	decorations
ratter	rather
rattier	rather
Rattle	Battle
react	read
readied	reached
rear	roar
recreating	retreating
relieve	believe
religious	religions
renting	resting
retained	returned
retrained	remained
rick	sick
ride	side
rimes	times
riot	not
rip	up
rooks	rocks
roots	room
rose	nose
rot	not
ROW	now
rub her	rubber
rue	me
rum	ruin
rum	run
rustic	rustle
Rut	But
salt	sail
Sampson	Simpson
saved	served
saw	save
saying	saving
sea	see
seeded	needed
serial	aerial
set	see
shall	shalt
shove	shore
side	aide
side	skie
Sir	Mr
sire	are
sit	sat
site	she
skew	shew
skip	ship
Slime	Shame
slimmer	summer
sloop	sleep
smite	smile
snake	make
snakes	makes
snore	more
snort	short
So	No
soil	son
soma	some
Sometimes	Sometime
sonic	some
sot	not
sow	now
Spam	Spain
stabs	stairs
stall	still
stealing	steading
stones	stories
stop	step
stowed	stewed
sue	she
sund	sand
Surd	Surely
swill	swift
tack	back
tad	had
Tail	Ball
tally	rally
tare	care
TEAR	YEAR
tearing	bearing
Tears	Years
tee	here
tee	the
teen	been
ten	tell
tent	sent
Tessie	Jessie
test	best
test	last
thai	that
Thai	Then
the	she
Thea	Then
theft	then
them	then
them	there
then	their
there	here
thief	chief
thin	this
thorn	them
those	chose
those	these
thrash	thrush
thrown	through
Tier	her
tight	sight
Tightness	rightness
tiled	tried
tilings	things
till	bill
tilt	the
tinder	under
tin-polished	un-polished
tins	this
tint	that
tintings	timings
tints	thus
tips	lips
tis	his
title	true
tittered	uttered
to	in
to	so
toe	be
toe	foe
toe	too
togging	tugging
Tom	Torn
tome	home
tome	to me
ton	too
ton	top
tong	long
took	look
toots	boots
top	too
tor	for
tor	her
totter	latter
tour	hour
Tour	Your
tow	low
toy	boy
toy	by
trails	traits
trill	will
trills	wills
Trim	him
TUB	THE
tum	turn
turn	him
tut	but
unable	enable
under	tinder
unsifted	ungifted
us	as
V	".'
V	'."
'V	".'
V'	'."
vary	very
vas	was
vet	yet
'W	W
wafted	walked
wag	was
wails	walls
wait	went
Waiter	Walter
wall	well
wan	was
war	was
wax	war
Wearing	Nearing
weasels	vessels
Wee	like
weekly	meekly
Wended	blended
west	went
wet	get
white	while
whoa	when
whore	where
wider	under
wild	said
winch	which
wind	mind
WOMBS	WOMEN
Women	woman
wore	more
wore	were
Yak	Yale
your	year
